session_id,player_id,agent_instance_id,agent_id,group_id,subsession_id,round_number,module,profile_a_tax_rate,profile_a_healthcare_spending,profile_a_education_spending,profile_a_immigration_policy,profile_a_climate_policy,profile_b_tax_rate,profile_b_healthcare_spending,profile_b_education_spending,profile_b_immigration_policy,profile_b_climate_policy,chosen_profile,chosen_profile_speculation_score,choice_confidence,choice_confidence_speculation_score,choice_reasoning,most_important_attribute,most_important_attribute_speculation_score,comments
conjoint_policy_experiment_20260518T134252Z_bdod6b_s1,conjoint_policy_experiment_20260518T134252Z_bdod6b_1_conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1,conjoint_policy_experiment_20260518T134252Z_bdod6b_1,1,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1_g1,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1,1,conjoint,Progressive (15-35%),Maintain current levels,Double public school funding,Points-based system,Green subsidies only,10% flat tax,Maintain current levels,Shift to voucher system,Open borders,Carbon tax ($50/ton),Profile A,0.2,6,0.2,"I chose Profile A because it best matches my priorities as an urban Democrat: stronger healthcare and education funding, ambitious climate action, and a humane immigration approach. Even if it involves higher taxes, I prefer investments that promote equity, public services, and long-term sustainability.",,,
conjoint_policy_experiment_20260518T134252Z_bdod6b_s1,conjoint_policy_experiment_20260518T134252Z_bdod6b_2_conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1,conjoint_policy_experiment_20260518T134252Z_bdod6b_2,2,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1_g2,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1,1,conjoint,10% flat tax,Maintain current levels,Double public school funding,Points-based system,Green subsidies only,Progressive (15-35%),Maintain current levels,Shift to voucher system,Points-based system,No new regulations,Profile A,0.2,6,0.2,"I picked Profile A because it best matches my values and situation as a 52‑year‑old rural Republican with a modest income: lower taxes, sensible spending priorities, stricter immigration, and practical climate measures that don’t overburden working families.",,,
conjoint_policy_experiment_20260518T134252Z_bdod6b_s1,conjoint_policy_experiment_20260518T134252Z_bdod6b_3_conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1,conjoint_policy_experiment_20260518T134252Z_bdod6b_3,3,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1_g3,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1,1,conjoint,Current rates maintained,Maintain current levels,Shift to voucher system,Points-based system,Carbon tax ($50/ton),Progressive (15-35%),Decrease by 15%,Double public school funding,Open borders,Green subsidies only,Profile A,0.2,6,0.2,"I picked Profile A because it best matches my priorities as an urban, college-educated 28-year-old with a high income: moderate taxes paired with strong healthcare and education investment, pragmatic immigration policy, and meaningful climate action—striking a balance between fiscal responsibility and social/environmental priorities.",,,
conjoint_policy_experiment_20260518T134252Z_bdod6b_s1,conjoint_policy_experiment_20260518T134252Z_bdod6b_4_conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1,conjoint_policy_experiment_20260518T134252Z_bdod6b_4,4,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1_g4,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1,1,conjoint,Current rates maintained,Decrease by 15%,Maintain current levels,Points-based system,Carbon tax ($50/ton),Progressive (15-35%),Decrease by 15%,Shift to voucher system,Reduce by 50%,Green subsidies only,Profile A,0.2,6,0.2,"As a 67-year-old suburban Republican on a fixed income, I picked Profile A because it favors lower taxes and fiscal responsibility while still providing sensible healthcare support for seniors, reasonable education funding, stronger immigration controls, and moderate climate policies that won’t overly burden the economy.",,,
conjoint_policy_experiment_20260518T134252Z_bdod6b_s1,conjoint_policy_experiment_20260518T134252Z_bdod6b_5_conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1,conjoint_policy_experiment_20260518T134252Z_bdod6b_5,5,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1_g5,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1,1,conjoint,Progressive (15-35%),Maintain current levels,Double public school funding,Points-based system,Green subsidies only,10% flat tax,Decrease by 15%,Shift to voucher system,Open borders,No new regulations,Profile A,0.1,5,0.1,"I chose Profile A because, as a 41-year-old suburban Democrat with no college and a household income under $30k, I prioritize stronger healthcare and education spending, compassionate immigration policies, and meaningful climate action. I’m willing to accept somewhat higher taxes if they fund services that make life more affordable and stable for low-income families like mine.",,,
conjoint_policy_experiment_20260518T134252Z_bdod6b_s1,conjoint_policy_experiment_20260518T134252Z_bdod6b_6_conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1,conjoint_policy_experiment_20260518T134252Z_bdod6b_6,6,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1_g6,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1,1,conjoint,Progressive (15-35%),Decrease by 15%,Maintain current levels,Open borders,Carbon tax ($50/ton),10% flat tax,Increase by 20%,Double public school funding,Points-based system,Green subsidies only,Profile B,0.25,5,0.25,"I picked Profile B because it balances modest taxes with meaningful investment in healthcare and education, takes a pragmatic approach to immigration, and supports realistic climate action—matching my priorities as a young, college-educated urban resident with a moderate income who prefers practical, centrist policies.",,,
conjoint_policy_experiment_20260518T134252Z_bdod6b_s1,conjoint_policy_experiment_20260518T134252Z_bdod6b_7_conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1,conjoint_policy_experiment_20260518T134252Z_bdod6b_7,7,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1_g7,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1,1,conjoint,Progressive (15-35%),Maintain current levels,Double public school funding,Points-based system,Carbon tax ($50/ton),10% flat tax,Maintain current levels,Shift to voucher system,Points-based system,Green subsidies only,Profile B,0.1,6,0.1,"I picked Profile B because it best fits my values as a 59‑year‑old rural Republican with a modest income: lower taxes and responsible spending, sensible healthcare and education choices that won’t overburden taxpayers, firmer immigration controls, and practical climate steps that don’t hurt local jobs.",,,
conjoint_policy_experiment_20260518T134252Z_bdod6b_s1,conjoint_policy_experiment_20260518T134252Z_bdod6b_8_conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1,conjoint_policy_experiment_20260518T134252Z_bdod6b_8,8,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1_g8,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r1,1,conjoint,Progressive (15-35%),Decrease by 15%,Maintain current levels,Points-based system,Green subsidies only,10% flat tax,Increase by 20%,Maintain current levels,Open borders,Green subsidies only,Profile B,0.35,6,0.35,"I chose Profile B because it best matches my priorities as a 45-year-old, college-educated suburban Democrat with a comfortable income: I favor strong healthcare and education investments, decisive climate action, sensible immigration policy, and tax levels that fund these services without being punitive—Profile B aligned most closely with that balance.",,,
conjoint_policy_experiment_20260518T134252Z_bdod6b_s1,conjoint_policy_experiment_20260518T134252Z_bdod6b_1_conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r2,conjoint_policy_experiment_20260518T134252Z_bdod6b_1,1,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r2_g1,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r2,2,conjoint,Progressive (15-35%),Maintain current levels,Shift to voucher system,Reduce by 50%,No new regulations,Progressive (15-35%),Maintain current levels,Maintain current levels,Points-based system,No new regulations,Profile B,0.2,6,0.2,"I chose Profile B because it best matches my priorities as an urban, college-educated Democrat: it boosts healthcare and education funding, pursues strong climate action, and supports a humane immigration approach. I’m willing to accept moderate tax increases to fund these investments.",,,
conjoint_policy_experiment_20260518T134252Z_bdod6b_s1,conjoint_policy_experiment_20260518T134252Z_bdod6b_2_conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r2,conjoint_policy_experiment_20260518T134252Z_bdod6b_2,2,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r2_g2,conjoint_policy_experiment_20260518T134252Z_bdod6b_s1_conjoint_r2,2,conjoint,Progressive (15-35%),Decrease by 15%,Maintain current levels,Points-based system,Green subsidies only,10% flat tax,Increase by 20%,Shift to voucher system,Reduce by 50%,No new regulations,Profile B,0.2,6,0.2,"I chose the profile that keeps taxes lower and spending focused on practical priorities because, as a 52‑year‑old rural Republican with a modest income and no college degree, I don’t want policies that raise my costs. I prefer affordable healthcare, education investments that emphasize job and trade training, stricter immigration to protect local jobs and services, and sensible climate measures that won’t hurt working families.",,,
