ID,module,round_number,class,name,value
1,pgg,1,Group,id_in_subsession,1
1,pgg,2,Group,id_in_subsession,1
1,pgg,3,Group,id_in_subsession,1
2,pgg,1,Group,id_in_subsession,1
2,pgg,2,Group,id_in_subsession,1
2,pgg,3,Group,id_in_subsession,1
3,pgg,1,Group,id_in_subsession,1
3,pgg,2,Group,id_in_subsession,1
3,pgg,3,Group,id_in_subsession,1
4,pgg,1,Group,id_in_subsession,1
4,pgg,2,Group,id_in_subsession,1
4,pgg,3,Group,id_in_subsession,1
5,pgg,1,Group,id_in_subsession,2
5,pgg,2,Group,id_in_subsession,2
5,pgg,3,Group,id_in_subsession,2
6,pgg,1,Group,id_in_subsession,2
6,pgg,2,Group,id_in_subsession,2
6,pgg,3,Group,id_in_subsession,2
7,pgg,1,Group,id_in_subsession,2
7,pgg,2,Group,id_in_subsession,2
7,pgg,3,Group,id_in_subsession,2
8,pgg,1,Group,id_in_subsession,2
8,pgg,2,Group,id_in_subsession,2
8,pgg,3,Group,id_in_subsession,2
9,pgg,1,Group,id_in_subsession,3
9,pgg,2,Group,id_in_subsession,3
9,pgg,3,Group,id_in_subsession,3
10,pgg,1,Group,id_in_subsession,3
10,pgg,2,Group,id_in_subsession,3
10,pgg,3,Group,id_in_subsession,3
11,pgg,1,Group,id_in_subsession,3
11,pgg,2,Group,id_in_subsession,3
11,pgg,3,Group,id_in_subsession,3
12,pgg,1,Group,id_in_subsession,3
12,pgg,2,Group,id_in_subsession,3
12,pgg,3,Group,id_in_subsession,3
13,pgg,1,Group,id_in_subsession,4
13,pgg,2,Group,id_in_subsession,4
13,pgg,3,Group,id_in_subsession,4
14,pgg,1,Group,id_in_subsession,4
14,pgg,2,Group,id_in_subsession,4
14,pgg,3,Group,id_in_subsession,4
15,pgg,1,Group,id_in_subsession,4
15,pgg,2,Group,id_in_subsession,4
15,pgg,3,Group,id_in_subsession,4
16,pgg,1,Group,id_in_subsession,4
16,pgg,2,Group,id_in_subsession,4
16,pgg,3,Group,id_in_subsession,4
17,pgg,1,Group,id_in_subsession,5
17,pgg,2,Group,id_in_subsession,5
17,pgg,3,Group,id_in_subsession,5
18,pgg,1,Group,id_in_subsession,5
18,pgg,2,Group,id_in_subsession,5
18,pgg,3,Group,id_in_subsession,5
19,pgg,1,Group,id_in_subsession,5
19,pgg,2,Group,id_in_subsession,5
19,pgg,3,Group,id_in_subsession,5
20,pgg,1,Group,id_in_subsession,5
20,pgg,2,Group,id_in_subsession,5
20,pgg,3,Group,id_in_subsession,5
21,pgg,1,Group,id_in_subsession,6
21,pgg,2,Group,id_in_subsession,6
21,pgg,3,Group,id_in_subsession,6
22,pgg,1,Group,id_in_subsession,6
22,pgg,2,Group,id_in_subsession,6
22,pgg,3,Group,id_in_subsession,6
23,pgg,1,Group,id_in_subsession,6
23,pgg,2,Group,id_in_subsession,6
23,pgg,3,Group,id_in_subsession,6
24,pgg,1,Group,id_in_subsession,6
24,pgg,2,Group,id_in_subsession,6
24,pgg,3,Group,id_in_subsession,6
