session_id,player_id,agent_instance_id,agent_id,group_id,subsession_id,round_number,module,profile_a_tax_rate,profile_a_healthcare_spending,profile_a_education_spending,profile_a_immigration_policy,profile_a_climate_policy,profile_b_tax_rate,profile_b_healthcare_spending,profile_b_education_spending,profile_b_immigration_policy,profile_b_climate_policy,chosen_profile,chosen_profile_speculation_score,choice_confidence,choice_confidence_speculation_score,choice_reasoning,most_important_attribute,most_important_attribute_speculation_score,comments
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_1_conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260518T134405Z_bdod6b_1,1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1_g1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,1,conjoint,10% flat tax,Maintain current levels,Double public school funding,Points-based system,Green subsidies only,10% flat tax,Increase by 20%,Maintain current levels,Reduce by 50%,No new regulations,Profile A,0.2,6,0.2,"I chose Profile A because its mix of progressive taxation to fund expanded healthcare and education, a pro-immigration stance, and strong climate action aligns with my values as an urban, college-educated Democrat in my 30s who prioritizes equity, public services, and environmental protection.",,,
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_2_conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260518T134405Z_bdod6b_2,2,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1_g2,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,1,conjoint,Current rates maintained,Decrease by 15%,Shift to voucher system,Reduce by 50%,Green subsidies only,10% flat tax,Maintain current levels,Shift to voucher system,Reduce by 50%,Green subsidies only,Profile B,0.2,6,0.2,"I picked Profile B because it matches my real-life background and outlook: a 52-year-old, working-class man in a rural area without a college degree and a $30k–$60k household income who identifies as Republican. That combination shapes my policy priorities (lower taxes, limited government spending, stricter immigration, and more pragmatic climate approaches), and Profile B best reflected those preferences.",,,
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_3_conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260518T134405Z_bdod6b_3,3,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1_g3,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,1,conjoint,Current rates maintained,Decrease by 15%,Shift to voucher system,Open borders,No new regulations,Progressive (15-35%),Maintain current levels,Shift to voucher system,Reduce by 50%,Carbon tax ($50/ton),Profile B,0.25,5,0.25,"I chose Profile B because it best matched my priorities as an independent, urban professional: a balance of moderate taxes and fiscal responsibility with strong investments in healthcare and education, a pragmatic immigration approach, and realistic but meaningful climate policy—addressing long-term social needs without extreme ideological positions.",,,
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_4_conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260518T134405Z_bdod6b_4,4,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1_g4,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,1,conjoint,Progressive (15-35%),Maintain current levels,Maintain current levels,Open borders,No new regulations,Current rates maintained,Increase by 20%,Maintain current levels,Open borders,No new regulations,Profile B,0.2,6,0.2,"I picked Profile B because its demographics and policy mix best match my own situation and views: as an older, suburban Republican with a college degree and moderate household income I prefer lower taxes, restrained spending priorities, stricter immigration controls, and pragmatic (rather than aggressive) climate policies, so this profile felt like the closest fit.",,,
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_5_conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260518T134405Z_bdod6b_5,5,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1_g5,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,1,conjoint,Current rates maintained,Maintain current levels,Maintain current levels,Points-based system,Carbon tax ($50/ton),10% flat tax,Decrease by 15%,Maintain current levels,Reduce by 50%,No new regulations,Profile A,0.15,5,0.15,"I selected Profile A because it matches my own demographics and political identity—a 41-year-old suburban woman with no college degree, low household income, and a Democratic affiliation—and thus reflects my priorities: support for expanded healthcare and education, progressive climate and immigration policies, and concern for affordability when evaluating proposals.",,,
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_6_conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260518T134405Z_bdod6b_6,6,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1_g6,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,1,conjoint,Progressive (15-35%),Maintain current levels,Shift to voucher system,Points-based system,Carbon tax ($50/ton),Progressive (15-35%),Decrease by 15%,Shift to voucher system,Points-based system,Green subsidies only,Profile A,0.25,5,0.25,"I chose Profile A because it matches my demographics (23, male, college-educated, urban, $30k–$60k income) and status as an Independent. That combination leads me to prefer pragmatic, moderate policies—supporting investment in education and healthcare, reasonable tax levels, sensible immigration approaches, and pragmatic climate action—rather than strongly partisan extremes.",,,
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_7_conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260518T134405Z_bdod6b_7,7,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1_g7,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,1,conjoint,10% flat tax,Maintain current levels,Shift to voucher system,Reduce by 50%,Green subsidies only,10% flat tax,Maintain current levels,Double public school funding,Reduce by 50%,Green subsidies only,Profile A,0.2,5,0.2,"I chose Profile A because it best matches my priorities as a 59‑year‑old rural Republican on a modest income: lower taxes and responsible spending, sensible immigration limits, and climate policies that protect jobs and keep costs down while still being practical.",,,
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_8_conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260518T134405Z_bdod6b_8,8,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1_g8,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,1,conjoint,10% flat tax,Maintain current levels,Shift to voucher system,Reduce by 50%,Green subsidies only,Current rates maintained,Decrease by 15%,Double public school funding,Points-based system,No new regulations,Profile B,0.35,5,0.35,"I picked Profile B because its mix of higher healthcare and education spending, proactive climate policy, and humane immigration stance aligns with my Democratic values and priorities as a college-educated, suburban, 45-year-old with a higher income—balancing progressive goals with pragmatic fiscal considerations.",,,
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_1_conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r2,conjoint_manual_experiment_20260518T134405Z_bdod6b_1,1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r2_g1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r2,2,conjoint,Progressive (15-35%),Maintain current levels,Double public school funding,Open borders,Carbon tax ($50/ton),Progressive (15-35%),Decrease by 15%,Maintain current levels,Reduce by 50%,Carbon tax ($50/ton),Profile A,0.2,6,0.2,"I chose Profile A because its progressive tax approach to fund expanded healthcare and education, pro-immigration stance, and strong climate action align with my values as an urban, college-educated Democrat who prioritizes equity, public services, and the environment.",,,
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_2_conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r2,conjoint_manual_experiment_20260518T134405Z_bdod6b_2,2,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r2_g2,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r2,2,conjoint,Current rates maintained,Decrease by 15%,Shift to voucher system,Reduce by 50%,No new regulations,Progressive (15-35%),Decrease by 15%,Shift to voucher system,Points-based system,Green subsidies only,Profile A,0.2,6,0.2,"I chose Profile A because it best matches my real-life background and outlook: a 52-year-old, working-class man in a rural area without a college degree who identifies as Republican and has a $30k–$60k household income. That background shapes preferences for lower taxes, restrained government spending, stricter immigration, and pragmatic climate policies, which Profile A reflected.",,,
