session_id,module_id,subsession_id,group_id,round_number,module,num_players
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1_g1,1,conjoint,1
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1_g2,1,conjoint,1
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1_g3,1,conjoint,1
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1_g4,1,conjoint,1
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1_g5,1,conjoint,1
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1_g6,1,conjoint,1
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1_g7,1,conjoint,1
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r1_g8,1,conjoint,1
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r2,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r2_g1,2,conjoint,1
conjoint_manual_experiment_20260518T134405Z_bdod6b_s1,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r2,conjoint_manual_experiment_20260518T134405Z_bdod6b_s1_conjoint_r2_g2,2,conjoint,1
