session_id,player_id,agent_instance_id,agent_id,group_id,subsession_id,round_number,module,pgg_quiz_1,pgg_quiz_1_speculation_score,pgg_quiz_2,pgg_quiz_2_speculation_score,pgg_quiz_3,pgg_quiz_3_speculation_score,endowment,decision,decision_speculation_score,public_account_earnings,private_account_remaining,payoff,belief,belief_speculation_score,comments
public_good_experiment_20260405T113818Z_xaji0y_s1,public_good_experiment_20260405T113818Z_xaji0y_1_public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,public_good_experiment_20260405T113818Z_xaji0y_1,1,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1_g1,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,The total tokens in the public account decrease,0.0,14,7,0.1,12,7,19,,,
public_good_experiment_20260405T113818Z_xaji0y_s1,public_good_experiment_20260405T113818Z_xaji0y_2_public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,public_good_experiment_20260405T113818Z_xaji0y_2,2,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1_g1,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,The total tokens in the public account decrease,0.0,12,0,0.1,12,12,24,,,
public_good_experiment_20260405T113818Z_xaji0y_s1,public_good_experiment_20260405T113818Z_xaji0y_3_public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,public_good_experiment_20260405T113818Z_xaji0y_3,3,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1_g1,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,The total tokens in the public account decrease,0.0,14,7,0.1,12,7,19,,,
public_good_experiment_20260405T113818Z_xaji0y_s1,public_good_experiment_20260405T113818Z_xaji0y_4_public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,public_good_experiment_20260405T113818Z_xaji0y_4,4,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1_g1,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,None of the above,0.0,13,10,0.3,12,3,15,,,
public_good_experiment_20260405T113818Z_xaji0y_s1,public_good_experiment_20260405T113818Z_xaji0y_5_public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,public_good_experiment_20260405T113818Z_xaji0y_5,5,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1_g2,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,None of the above,0.0,13,0,0.0,1.0,13,14,,,
public_good_experiment_20260405T113818Z_xaji0y_s1,public_good_experiment_20260405T113818Z_xaji0y_6_public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,public_good_experiment_20260405T113818Z_xaji0y_6,6,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1_g2,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,Other group members' earnings increase,0.0,14,2,0.2,1,12,13,,,
public_good_experiment_20260405T113818Z_xaji0y_s1,public_good_experiment_20260405T113818Z_xaji0y_7_public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,public_good_experiment_20260405T113818Z_xaji0y_7,7,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1_g2,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,The total tokens in the public account decrease,0.0,17,0,0.6,1,17,18,,,
public_good_experiment_20260405T113818Z_xaji0y_s1,public_good_experiment_20260405T113818Z_xaji0y_8_public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,public_good_experiment_20260405T113818Z_xaji0y_8,8,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1_g2,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,None of the above,0.0,14,0,0.1,1,14,15,,,
public_good_experiment_20260405T113818Z_xaji0y_s1,public_good_experiment_20260405T113818Z_xaji0y_9_public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,public_good_experiment_20260405T113818Z_xaji0y_9,9,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1_g3,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,None of the above,0.0,13,5,0.2,13.5,8,21.5,,,
public_good_experiment_20260405T113818Z_xaji0y_s1,public_good_experiment_20260405T113818Z_xaji0y_10_public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,public_good_experiment_20260405T113818Z_xaji0y_10,10,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1_g3,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,The total tokens in the public account decrease,0.0,17,8,0.3,13.5,9,22.5,,,
public_good_experiment_20260405T113818Z_xaji0y_s1,public_good_experiment_20260405T113818Z_xaji0y_11_public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,public_good_experiment_20260405T113818Z_xaji0y_11,11,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1_g3,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,None of the above,0.0,14,4,0.2,13.5,10,23.5,,,
public_good_experiment_20260405T113818Z_xaji0y_s1,public_good_experiment_20260405T113818Z_xaji0y_12_public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,public_good_experiment_20260405T113818Z_xaji0y_12,12,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1_g3,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,None of the above,0.0,17,10,0.2,13.5,7,20.5,,,
public_good_experiment_20260405T113818Z_xaji0y_s1,public_good_experiment_20260405T113818Z_xaji0y_13_public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,public_good_experiment_20260405T113818Z_xaji0y_13,13,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1_g4,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,The total tokens in the public account decrease,0.0,12,0,0.2,7,12,19,,,
public_good_experiment_20260405T113818Z_xaji0y_s1,public_good_experiment_20260405T113818Z_xaji0y_14_public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,public_good_experiment_20260405T113818Z_xaji0y_14,14,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1_g4,public_good_experiment_20260405T113818Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,None of the above,0.0,12,4,0.2,2,8,10,,,
