session_id,profile_id,agent_id,agent_instance_id,module,round_number,class,name,value
public_good_experiment_20260405T113818Z_xaji0y_s1,1,1,public_good_experiment_20260405T113818Z_xaji0y_1,nan,,Agent,treatment,T1
public_good_experiment_20260405T113818Z_xaji0y_s1,2,2,public_good_experiment_20260405T113818Z_xaji0y_2,nan,,Agent,treatment,T2
public_good_experiment_20260405T113818Z_xaji0y_s1,3,3,public_good_experiment_20260405T113818Z_xaji0y_3,nan,,Agent,treatment,T1
public_good_experiment_20260405T113818Z_xaji0y_s1,4,4,public_good_experiment_20260405T113818Z_xaji0y_4,nan,,Agent,treatment,T2
public_good_experiment_20260405T113818Z_xaji0y_s1,5,5,public_good_experiment_20260405T113818Z_xaji0y_5,nan,,Agent,treatment,T1
public_good_experiment_20260405T113818Z_xaji0y_s1,6,6,public_good_experiment_20260405T113818Z_xaji0y_6,nan,,Agent,treatment,T2
public_good_experiment_20260405T113818Z_xaji0y_s1,7,7,public_good_experiment_20260405T113818Z_xaji0y_7,nan,,Agent,treatment,T1
public_good_experiment_20260405T113818Z_xaji0y_s1,8,8,public_good_experiment_20260405T113818Z_xaji0y_8,nan,,Agent,treatment,T2
public_good_experiment_20260405T113818Z_xaji0y_s1,9,9,public_good_experiment_20260405T113818Z_xaji0y_9,nan,,Agent,treatment,T1
public_good_experiment_20260405T113818Z_xaji0y_s1,10,10,public_good_experiment_20260405T113818Z_xaji0y_10,nan,,Agent,treatment,T2
public_good_experiment_20260405T113818Z_xaji0y_s1,11,11,public_good_experiment_20260405T113818Z_xaji0y_11,nan,,Agent,treatment,T2
public_good_experiment_20260405T113818Z_xaji0y_s1,12,12,public_good_experiment_20260405T113818Z_xaji0y_12,nan,,Agent,treatment,T2
public_good_experiment_20260405T113818Z_xaji0y_s1,13,13,public_good_experiment_20260405T113818Z_xaji0y_13,nan,,Agent,treatment,T1
public_good_experiment_20260405T113818Z_xaji0y_s1,14,14,public_good_experiment_20260405T113818Z_xaji0y_14,nan,,Agent,treatment,T1
public_good_experiment_20260405T113818Z_xaji0y_s1,15,15,public_good_experiment_20260405T113818Z_xaji0y_15,nan,,Agent,treatment,T1
public_good_experiment_20260405T113818Z_xaji0y_s1,16,16,public_good_experiment_20260405T113818Z_xaji0y_16,nan,,Agent,treatment,T1
public_good_experiment_20260405T113818Z_xaji0y_s1,17,17,public_good_experiment_20260405T113818Z_xaji0y_17,nan,,Agent,treatment,T2
public_good_experiment_20260405T113818Z_xaji0y_s1,18,18,public_good_experiment_20260405T113818Z_xaji0y_18,nan,,Agent,treatment,T2
public_good_experiment_20260405T113818Z_xaji0y_s1,19,19,public_good_experiment_20260405T113818Z_xaji0y_19,nan,,Agent,treatment,T1
public_good_experiment_20260405T113818Z_xaji0y_s1,20,20,public_good_experiment_20260405T113818Z_xaji0y_20,nan,,Agent,treatment,T1
public_good_experiment_20260405T113818Z_xaji0y_s1,21,21,public_good_experiment_20260405T113818Z_xaji0y_21,nan,,Agent,treatment,T1
public_good_experiment_20260405T113818Z_xaji0y_s1,22,22,public_good_experiment_20260405T113818Z_xaji0y_22,nan,,Agent,treatment,T1
public_good_experiment_20260405T113818Z_xaji0y_s1,23,23,public_good_experiment_20260405T113818Z_xaji0y_23,nan,,Agent,treatment,T2
public_good_experiment_20260405T113818Z_xaji0y_s1,24,24,public_good_experiment_20260405T113818Z_xaji0y_24,nan,,Agent,treatment,T2
public_good_experiment_20260405T113818Z_xaji0y_s1,1,1,public_good_experiment_20260405T113818Z_xaji0y_1,pgg,1,Group,group_id,1
public_good_experiment_20260405T113818Z_xaji0y_s1,2,2,public_good_experiment_20260405T113818Z_xaji0y_2,pgg,1,Group,group_id,1
public_good_experiment_20260405T113818Z_xaji0y_s1,3,3,public_good_experiment_20260405T113818Z_xaji0y_3,pgg,1,Group,group_id,1
public_good_experiment_20260405T113818Z_xaji0y_s1,4,4,public_good_experiment_20260405T113818Z_xaji0y_4,pgg,1,Group,group_id,1
public_good_experiment_20260405T113818Z_xaji0y_s1,5,5,public_good_experiment_20260405T113818Z_xaji0y_5,pgg,1,Group,group_id,2
public_good_experiment_20260405T113818Z_xaji0y_s1,6,6,public_good_experiment_20260405T113818Z_xaji0y_6,pgg,1,Group,group_id,2
public_good_experiment_20260405T113818Z_xaji0y_s1,7,7,public_good_experiment_20260405T113818Z_xaji0y_7,pgg,1,Group,group_id,2
public_good_experiment_20260405T113818Z_xaji0y_s1,8,8,public_good_experiment_20260405T113818Z_xaji0y_8,pgg,1,Group,group_id,2
public_good_experiment_20260405T113818Z_xaji0y_s1,9,9,public_good_experiment_20260405T113818Z_xaji0y_9,pgg,1,Group,group_id,3
public_good_experiment_20260405T113818Z_xaji0y_s1,10,10,public_good_experiment_20260405T113818Z_xaji0y_10,pgg,1,Group,group_id,3
public_good_experiment_20260405T113818Z_xaji0y_s1,11,11,public_good_experiment_20260405T113818Z_xaji0y_11,pgg,1,Group,group_id,3
public_good_experiment_20260405T113818Z_xaji0y_s1,12,12,public_good_experiment_20260405T113818Z_xaji0y_12,pgg,1,Group,group_id,3
public_good_experiment_20260405T113818Z_xaji0y_s1,13,13,public_good_experiment_20260405T113818Z_xaji0y_13,pgg,1,Group,group_id,4
public_good_experiment_20260405T113818Z_xaji0y_s1,14,14,public_good_experiment_20260405T113818Z_xaji0y_14,pgg,1,Group,group_id,4
public_good_experiment_20260405T113818Z_xaji0y_s1,15,15,public_good_experiment_20260405T113818Z_xaji0y_15,pgg,1,Group,group_id,4
public_good_experiment_20260405T113818Z_xaji0y_s1,16,16,public_good_experiment_20260405T113818Z_xaji0y_16,pgg,1,Group,group_id,4
public_good_experiment_20260405T113818Z_xaji0y_s1,17,17,public_good_experiment_20260405T113818Z_xaji0y_17,pgg,1,Group,group_id,5
public_good_experiment_20260405T113818Z_xaji0y_s1,18,18,public_good_experiment_20260405T113818Z_xaji0y_18,pgg,1,Group,group_id,5
public_good_experiment_20260405T113818Z_xaji0y_s1,19,19,public_good_experiment_20260405T113818Z_xaji0y_19,pgg,1,Group,group_id,5
public_good_experiment_20260405T113818Z_xaji0y_s1,20,20,public_good_experiment_20260405T113818Z_xaji0y_20,pgg,1,Group,group_id,5
public_good_experiment_20260405T113818Z_xaji0y_s1,21,21,public_good_experiment_20260405T113818Z_xaji0y_21,pgg,1,Group,group_id,6
public_good_experiment_20260405T113818Z_xaji0y_s1,22,22,public_good_experiment_20260405T113818Z_xaji0y_22,pgg,1,Group,group_id,6
public_good_experiment_20260405T113818Z_xaji0y_s1,23,23,public_good_experiment_20260405T113818Z_xaji0y_23,pgg,1,Group,group_id,6
public_good_experiment_20260405T113818Z_xaji0y_s1,24,24,public_good_experiment_20260405T113818Z_xaji0y_24,pgg,1,Group,group_id,6
public_good_experiment_20260405T113818Z_xaji0y_s1,1,1,public_good_experiment_20260405T113818Z_xaji0y_1,pgg,2,Group,group_id,1
public_good_experiment_20260405T113818Z_xaji0y_s1,2,2,public_good_experiment_20260405T113818Z_xaji0y_2,pgg,2,Group,group_id,1
public_good_experiment_20260405T113818Z_xaji0y_s1,3,3,public_good_experiment_20260405T113818Z_xaji0y_3,pgg,2,Group,group_id,1
public_good_experiment_20260405T113818Z_xaji0y_s1,4,4,public_good_experiment_20260405T113818Z_xaji0y_4,pgg,2,Group,group_id,1
public_good_experiment_20260405T113818Z_xaji0y_s1,5,5,public_good_experiment_20260405T113818Z_xaji0y_5,pgg,2,Group,group_id,2
public_good_experiment_20260405T113818Z_xaji0y_s1,6,6,public_good_experiment_20260405T113818Z_xaji0y_6,pgg,2,Group,group_id,2
public_good_experiment_20260405T113818Z_xaji0y_s1,7,7,public_good_experiment_20260405T113818Z_xaji0y_7,pgg,2,Group,group_id,2
public_good_experiment_20260405T113818Z_xaji0y_s1,8,8,public_good_experiment_20260405T113818Z_xaji0y_8,pgg,2,Group,group_id,2
public_good_experiment_20260405T113818Z_xaji0y_s1,9,9,public_good_experiment_20260405T113818Z_xaji0y_9,pgg,2,Group,group_id,3
public_good_experiment_20260405T113818Z_xaji0y_s1,10,10,public_good_experiment_20260405T113818Z_xaji0y_10,pgg,2,Group,group_id,3
public_good_experiment_20260405T113818Z_xaji0y_s1,11,11,public_good_experiment_20260405T113818Z_xaji0y_11,pgg,2,Group,group_id,3
