ID,module,round_number,class,name,value
1,conjoint,1,Player,profile_a_tax_rate,10% flat tax
1,conjoint,2,Player,profile_a_tax_rate,Progressive (15-35%)
1,conjoint,3,Player,profile_a_tax_rate,10% flat tax
1,conjoint,4,Player,profile_a_tax_rate,Progressive (15-35%)
1,conjoint,5,Player,profile_a_tax_rate,Current rates maintained
2,conjoint,1,Player,profile_a_tax_rate,Current rates maintained
2,conjoint,2,Player,profile_a_tax_rate,Current rates maintained
2,conjoint,3,Player,profile_a_tax_rate,Current rates maintained
2,conjoint,4,Player,profile_a_tax_rate,Progressive (15-35%)
2,conjoint,5,Player,profile_a_tax_rate,10% flat tax
3,conjoint,1,Player,profile_a_tax_rate,Current rates maintained
3,conjoint,2,Player,profile_a_tax_rate,Current rates maintained
3,conjoint,3,Player,profile_a_tax_rate,10% flat tax
3,conjoint,4,Player,profile_a_tax_rate,Progressive (15-35%)
3,conjoint,5,Player,profile_a_tax_rate,Progressive (15-35%)
4,conjoint,1,Player,profile_a_tax_rate,Progressive (15-35%)
4,conjoint,2,Player,profile_a_tax_rate,Current rates maintained
4,conjoint,3,Player,profile_a_tax_rate,Progressive (15-35%)
4,conjoint,4,Player,profile_a_tax_rate,Progressive (15-35%)
4,conjoint,5,Player,profile_a_tax_rate,10% flat tax
5,conjoint,1,Player,profile_a_tax_rate,Current rates maintained
5,conjoint,2,Player,profile_a_tax_rate,Current rates maintained
5,conjoint,3,Player,profile_a_tax_rate,Progressive (15-35%)
5,conjoint,4,Player,profile_a_tax_rate,Current rates maintained
5,conjoint,5,Player,profile_a_tax_rate,10% flat tax
6,conjoint,1,Player,profile_a_tax_rate,Progressive (15-35%)
6,conjoint,2,Player,profile_a_tax_rate,Progressive (15-35%)
6,conjoint,3,Player,profile_a_tax_rate,Progressive (15-35%)
6,conjoint,4,Player,profile_a_tax_rate,Progressive (15-35%)
6,conjoint,5,Player,profile_a_tax_rate,Progressive (15-35%)
7,conjoint,1,Player,profile_a_tax_rate,10% flat tax
7,conjoint,2,Player,profile_a_tax_rate,Progressive (15-35%)
7,conjoint,3,Player,profile_a_tax_rate,Progressive (15-35%)
7,conjoint,4,Player,profile_a_tax_rate,Progressive (15-35%)
7,conjoint,5,Player,profile_a_tax_rate,Progressive (15-35%)
8,conjoint,1,Player,profile_a_tax_rate,10% flat tax
8,conjoint,2,Player,profile_a_tax_rate,Progressive (15-35%)
8,conjoint,3,Player,profile_a_tax_rate,10% flat tax
8,conjoint,4,Player,profile_a_tax_rate,10% flat tax
8,conjoint,5,Player,profile_a_tax_rate,10% flat tax
1,conjoint,1,Player,profile_a_healthcare_spending,Maintain current levels
1,conjoint,2,Player,profile_a_healthcare_spending,Maintain current levels
1,conjoint,3,Player,profile_a_healthcare_spending,Increase by 20%
1,conjoint,4,Player,profile_a_healthcare_spending,Increase by 20%
1,conjoint,5,Player,profile_a_healthcare_spending,Maintain current levels
2,conjoint,1,Player,profile_a_healthcare_spending,Decrease by 15%
2,conjoint,2,Player,profile_a_healthcare_spending,Decrease by 15%
2,conjoint,3,Player,profile_a_healthcare_spending,Increase by 20%
2,conjoint,4,Player,profile_a_healthcare_spending,Maintain current levels
2,conjoint,5,Player,profile_a_healthcare_spending,Increase by 20%
3,conjoint,1,Player,profile_a_healthcare_spending,Decrease by 15%
3,conjoint,2,Player,profile_a_healthcare_spending,Maintain current levels
3,conjoint,3,Player,profile_a_healthcare_spending,Maintain current levels
3,conjoint,4,Player,profile_a_healthcare_spending,Increase by 20%
3,conjoint,5,Player,profile_a_healthcare_spending,Increase by 20%
4,conjoint,1,Player,profile_a_healthcare_spending,Maintain current levels
4,conjoint,2,Player,profile_a_healthcare_spending,Increase by 20%
4,conjoint,3,Player,profile_a_healthcare_spending,Decrease by 15%
4,conjoint,4,Player,profile_a_healthcare_spending,Decrease by 15%
4,conjoint,5,Player,profile_a_healthcare_spending,Maintain current levels
5,conjoint,1,Player,profile_a_healthcare_spending,Maintain current levels
5,conjoint,2,Player,profile_a_healthcare_spending,Increase by 20%
5,conjoint,3,Player,profile_a_healthcare_spending,Increase by 20%
5,conjoint,4,Player,profile_a_healthcare_spending,Increase by 20%
5,conjoint,5,Player,profile_a_healthcare_spending,Decrease by 15%
